Time resolution is 1 ps
Time = 3310000 | data_in = 0000 | data_out = 1c86 | rst = 0
Time = 3320000 | data_in = 2900 | data_out = 1c86 | rst = 0
Time = 3330000 | data_in = 2900 | data_out = 0beb | rst = 0
Time = 3340000 | data_in = 171e | data_out = 0beb | rst = 0
Time = 3350000 | data_in = 171e | data_out = 04ee | rst = 0
Time = 3360000 | data_in = e0d9 | data_out = 04ee | rst = 0
Time = 3370000 | data_in = e0d9 | data_out = 0d86 | rst = 0
Time = 3380000 | data_in = cef8 | data_out = 0d86 | rst = 0
Time = 3390000 | data_in = cef8 | data_out = 161c | rst = 0
Time = 3400000 | data_in = f7fb | data_out = 161c | rst = 0
Time = 3410000 | data_in = f7fb | data_out = 0f19 | rst = 0
Time = 3420000 | data_in = 20fe | data_out = 0f19 | rst = 0
Time = 3430000 | data_in = 20fe | data_out = fe73 | rst = 0
Time = 3440000 | data_in = 0f22 | data_out = fe73 | rst = 0
Time = 3450000 | data_in = 0f22 | data_out = f76e | rst = 0
Time = 3460000 | data_in = d8e3 | data_out = f76e | rst = 0
Time = 3470000 | data_in = d8e3 | data_out = 0000 | rst = 0
Time = 3480000 | data_in = c70a | data_out = 0000 | rst = 0
Time = 3490000 | data_in = c70a | data_out = 0891 | rst = 0
Time = 3500000 | data_in = f015 | data_out = 0891 | rst = 0
Time = 3510000 | data_in = f015 | data_out = 018c | rst = 0
Time = 3520000 | data_in = 1923 | data_out = 018c | rst = 0
Time = 3530000 | data_in = 1923 | data_out = f0e6 | rst = 0
Time = 3540000 | data_in = 0752 | data_out = f0e6 | rst = 0
Time = 3550000 | data_in = 0752 | data_out = e9e3 | rst = 0
Time = 3560000 | data_in = d120 | data_out = e9e3 | rst = 0
Time = 3570000 | data_in = d120 | data_out = f279 | rst = 0
Time = 3580000 | data_in = bf56 | data_out = f279 | rst = 0
Time = 3590000 | data_in = bf56 | data_out = fb11 | rst = 0
Time = 3600000 | data_in = e871 | data_out = fb11 | rst = 0
Time = 3610000 | data_in = e871 | data_out = f415 | rst = 0
Time = 3620000 | data_in = 118f | data_out = f415 | rst = 0
Time = 3630000 | data_in = 118f | data_out = e379 | rst = 0
Time = 3640000 | data_in = ffd0 | data_out = e379 | rst = 0
Time = 3650000 | data_in = ffd0 | data_out = dc83 | rst = 0
Time = 3660000 | data_in = c9b1 | data_out = dc83 | rst = 0
Time = 3670000 | data_in = c9b1 | data_out = e528 | rst = 0
Time = 3680000 | data_in = b7fb | data_out = e528 | rst = 0
Time = 3690000 | data_in = b7fb | data_out = edd1 | rst = 0
Time = 3700000 | data_in = e12b | data_out = edd1 | rst = 0
Time = 3710000 | data_in = e12b | data_out = e6e8 | rst = 0
Time = 3720000 | data_in = 0a60 | data_out = e6e8 | rst = 0
Time = 3730000 | data_in = 0a60 | data_out = d663 | rst = 0
Time = 3740000 | data_in = f8b9 | data_out = d663 | rst = 0
Time = 3750000 | data_in = f8b9 | data_out = cf85 | rst = 0
Time = 3760000 | data_in = c2b3 | data_out = cf85 | rst = 0
Time = 3770000 | data_in = c2b3 | data_out = d844 | rst = 0
Time = 3780000 | data_in = b116 | data_out = d844 | rst = 0
Time = 3790000 | data_in = b116 | data_out = e109 | rst = 0
Time = 3800000 | data_in = da62 | data_out = e109 | rst = 0
Time = 3810000 | data_in = da62 | data_out = da3f | rst = 0
Time = 3820000 | data_in = 03b3 | data_out = da3f | rst = 0
Time = 3830000 | data_in = 03b3 | data_out = c9d9 | rst = 0
Time = 3840000 | data_in = f229 | data_out = c9d9 | rst = 0
Time = 3850000 | data_in = f229 | data_out = c31d | rst = 0
Time = 3860000 | data_in = bc41 | data_out = c31d | rst = 0
Time = 3870000 | data_in = bc41 | data_out = cc01 | rst = 0
Time = 3880000 | data_in = aac5 | data_out = cc01 | rst = 0
Time = 3890000 | data_in = aac5 | data_out = d4ec | rst = 0
Time = 3900000 | data_in = d430 | data_out = d4ec | rst = 0
Time = 3910000 | data_in = d430 | data_out = ce4a | rst = 0
Time = 3920000 | data_in = fda3 | data_out = ce4a | rst = 0
Time = 3930000 | data_in = fda3 | data_out = be0e | rst = 0
Time = 3940000 | data_in = ec3c | data_out = be0e | rst = 0
Time = 3950000 | data_in = ec3c | data_out = b77e | rst = 0
Time = 3960000 | data_in = b677 | data_out = b77e | rst = 0
Time = 3970000 | data_in = b677 | data_out = c08f | rst = 0
Time = 3980000 | data_in = a51f | data_out = c08f | rst = 0
Time = 3990000 | data_in = a51f | data_out = c9aa | rst = 0
Time = 4000000 | data_in = ceb0 | data_out = c9aa | rst = 0
Time = 4010000 | data_in = ceb0 | data_out = c339 | rst = 0
Time = 4020000 | data_in = f849 | data_out = c339 | rst = 0
Time = 4030000 | data_in = f849 | data_out = b330 | rst = 0
